Code,Title
BE-00-00-00-00,Public Benefits
BE-01-00-00-00,Disability public benefits
BE-02-00-00-00,Food and Cash benefits
BE-03-00-00-00,Health public benefits and medical assistance programs
BE-04-00-00-00,"Unemployment Benefits, Compensation, and Insurance"
BE-05-00-00-00,"Utilities, Energy, and Heating benefits at home"
BE-06-00-00-00,Public Benefits for Veterans and Military
BE-07-00-00-00,Old Age Public Benefits
BU-00-00-00-00,Small Business and IP
BU-01-00-00-00,Business and Occupational Licenses
BU-02-00-00-00,Economic Development
BU-03-00-00-00,Running a farm business
BU-04-00-00-00,Intellectual Property
BU-05-00-00-00,Running a For-Profit Business
BU-06-00-00-00,Running a Nonprofit
BU-07-00-00-00,Help for Small Businesses after a Disaster
BU-10-00-00-00,Running an Arts/Entertainment Business
CO-00-00-00-00,Courts and Lawyers
CO-01-00-00-00,Getting and having a lawyer
CO-02-00-00-00,Legal Help Resources to deal with legal issues
CO-03-00-00-00,Representing oneself without a lawyer
CO-04-00-00-00,Administrative agency requests and hearings
CO-05-00-00-00,Evidence for a court case
CO-06-00-00-00,Legal Research
CO-07-00-00-00,Going to court and dealing with procedure
CO-08-00-00-00,Rule- and law-making procedures
CO-09-00-00-00,Finding and hiring a lawyer
CO-10-00-00-00,Class Action lawsuits
CR-00-00-00-00,Crime and Prisons
CR-01-00-00-00,Being a victim or witness to a crime
CR-02-00-00-00,After being found guilty of a crime
CR-03-00-00-00,Confessions and statements to the police
CR-04-00-00-00,Having a lawyer in a criminal case
CR-05-00-00-00,Line-ups and Identification
CR-06-00-00-00,Criminal Records
CR-07-00-00-00,Death Penalty
CR-08-00-00-00,Going to criminal court and being on trial
CR-09-00-00-00,Due Process rights in a criminal case
CR-10-00-00-00,Juvenile Justice
CR-11-00-00-00,Challenging detention through Habeas Corpus
CR-12-00-00-00,Dealing with police and prosecutors
CR-13-00-00-00,Understanding Specific Types of Crimes
CR-14-00-00-00,Reentry after prison
CR-15-00-00-00,"Prisoners' rights, services, and conditions"
CR-16-00-00-00,Being investigated for a crime
DI-00-00-00-00,Disaster Relief
DI-01-00-00-00,Help for Farms after a Disaster
DI-02-00-00-00,Public Benefits for individuals after a disaster
DI-03-00-00-00,Finding Missing Persons after a Disaster
DI-04-00-00-00,Insurance Claims after a disaster
DI-05-00-00-00,Rebuilding and Reconstruction after a disaster
DI-06-00-00-00,Replacing Lost Documents after a disaster
DI-07-00-00-00,Tax Relief after a disaster
DI-08-00-00-00,Public Health Emergency issues
ED-00-00-00-00,Education
ED-01-00-00-00,Adult continuing education
ED-02-00-00-00,Public Benefits offered through schools
ED-03-00-00-00,Paying for education
ED-04-00-00-00,"Discipline, expulsion, or suspension from school"
ED-05-00-00-00,Discrimination and rights around education
ED-06-00-00-00,Privacy at school
ED-07-00-00-00,Students with disabilities and special education
ED-08-00-00-00,School residency or enrollment
ED-09-00-00-00,"School standards, testing, and requirements"
ED-10-00-00-00,Language access to education
ED-11-00-00-00,Quality of education for student with disability
ED-12-00-00-00,Students' Educational Records
EN-00-00-00-00,Environmental Justice
EN-01-00-00-00,Air Pollution
EN-02-00-00-00,Environmental Protection
EN-03-00-00-00,Hazardous Waste
EN-04-00-00-00,Pesticides
EN-05-00-00-00,Sustainable Agriculture
EN-06-00-00-00,Water Pollution
